opis,cena,id,vrednost_kupona,ocena,stevilo_ocen,cas_dostave,amazons_choice,produkt_sponzoriran,proizvajalec,OS,ssd,ram
"Intel NUC 11 Essential Windows 11, Atlas Canyon Celeron N5105, 4 Cores, 4 Threads, 2.9 GHz, 4MB Level 3 Cache, 46W TDP, Intel UHD Graphics",309.99,B0B8HWXN8F,30.00,4.4,14,8,False,True,Intel,Windows,unknown,unknown
"Intel NUC, NUC 11 Pro Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4GHz-4.2GHz Turbo, 8-Thread, 8MB Cache, 16GB RAM, 256GB PCIe SSD, 28 W. Intelle. ® Iris™ Xe Graphics, NUC11PAHi5",749.99,B0B1MN8LXD,70.00,5.0,2,21,False,True,Intel,Windows,256,16
HumanCentric Intel NUC VESA Mount for NUC Mini PC Computer,12.99,B07KB4YWQS,0,4.6,584,8,False,False,Intel,unknown,unknown,unknown
"NUC 11 NUC11PAHi7 Home&amp;Business Desktop Mini PC, Intel® Core™ i7-1165G7 4-Core, 2.8GHz-4.7GHz Turbo, 8 Thread, 12MB Cache, 16GB RAM, 512GB PCIe 28 W Intel® Iris™ X graphics, Win 10Pro",929.99,B09KMVGLHQ,0,4.7,9,13,False,False,Intel,Windows,unknown,16
Intel Juni Canyon NUC7CJYHN Barebone L6 without Cord,130.83,B093YPT4TR,0,-1,0,8,False,False,Intel,no OS,unknown,unknown
Intel NUC BOXNUC7CJYSAMN2 EU Cord,248.78,B093Z56JTW,0,-1,0,8,False,False,Intel,unknown,unknown,unknown
"Intel NUC, NUC 10 i5, Intel® Core™ i5-10210U Mini PC, NUC10i5FNHN Barebone, up to 4.2 GHz, 4 cores, 8 threads, no OS",529.99,B0B1MN8WX5,0,4.8,8,21,False,True,Intel,no OS,unknown,unknown
Intel NUC 12 Pro Kit NUC12WSHi5 UCFF Black i5-1240P,562.08,B0BJ2VHPGZ,0,-1,0,13,False,False,Intel,unknown,unknown,unknown
"shinobee Silent Mini PC BRIX NUC 6 Watt Office, 8 GB RAM, 512 GB SSD, Windows 11 Pro, HDMI, USB 3.0, MS Office 2010 Starter, Inaudible Quiet, WiFi, Bluetooth. #7085",177.00,B0BCX9H4GG,0,4.0,2,13,False,False,Shinobee,Windows,512,8
"Intel NUC 11, Intel Core i7-1165G7, 2.8-4.7GHz, 28W Intel Iris Xe Graphics, NVIDIA GeForce RTX2060 Discrete Graphics 6GB GDDR, without RAM SSD and OS, additional components required NUC11PHK. i7C","1,699.99",B09KR9QQCR,0,4.5,12,21,False,False,Intel,unknown,unknown,unknown
"Intel Nuc Mini Complete PC, Intel i5-10210U Quad Core 4x4.20GHz, 16GB DDR4 RAM, 512GB SSD, USB 3.1, HDMI, Intel UHD Graphics, Windows 10 Pro, 3 Year Warranty",649.89,B08BKBN2DP,0,4.5,81,14,False,False,Intel,Windows,512,16
Mini PC - NUC 11H Pro - Core i5 1135G7 - RAM: 8GB - SSD: 500GB - USB 3 - Windows 11 Pro,-1,B07RY493ZH,0,4.6,6,-1,False,False,unknown,Windows,500,
"CHUWI Mini PC LarkBox X, AMD Ryzen™7 3750H Processor up to 4GHz, 8GB DDR4 256GB SSD Mini Desktop Computer with Windows 11 OS, HDMI, DP and Type-C Connection, RJ45-LAN, WiFi 6, BT5.2, M.2 Plug Space, USB 3. 1 x 4",399.00,B00OKAHH8O,30.00,4.3,254,8,False,True,Chuwi,Windows,256,8
"Intel Nuc Mini Complete PC, Intel Dual Core 2 x 2.70GHz, 8GB RAM, 256GB SSD, USB 3.0, HDMI, Intel UHD Graphics, 4K Resolution, 3 Year Manufacturer&#x27;s Warranty, Windows 10 Pro",409.00,B07W72ZDXZ,0,4.7,65,-1,False,False,Intel,Windows,256,8
"Intel Nuc Mini Komplett PC, Intel i5-10210U Quad Core 4 x 4.20 GHz, 16 GB DDR4 RAM, 512 GB SSD, USB 3.1, HDMI, Intel UHD Grafik, Windows 10 Pro, 3 Jahre Garantie",-1,B081F73FMY,0,4.4,77,-1,False,False,Intel,Windows,512,16
Mini PC - NUC 11H Pro - Core i7 1165G7 - RAM: 32GB - SSD: 1000GB - USB 3 - Windows 11 Pro,"1,043.92",B07RZTFJNK,0,4.6,63,14,False,False,unknown,Windows,1000,
Mini PC NUC - 10th Gen - Core i3 10110U - 8GB RAM - 250GB SSD - USB 3 - Windows 10 Pro,609.00,B07RNLJWQF,0,5.0,17,13,False,False,unknown,Windows,250,8
"MINIS FORUM JB95 Mini PC, Intel Celeron Silver N5095 Processor Quad-Core CPU 8 GB / 128GB SSD Mini Desktop Computer with Windows 10, HDMI/DP/USB C Connector, USB 3.0×2, USB 3.1×2",239.00,B089CZ4QC6,34.00,4.2,358,8,False,True,Intel,Windows,128,unknown
Mini PC Intel NUC - i7 Intel Core - 16GB RAM - 500GB SSD - Windows 10 Pro,-1,B07RZTFP96,0,4.7,27,-1,False,False,Intel,Windows,500,16
"MINISFORUM UM350 Mini PC Windows 11 Pro AMD Ryzen 5 3550H DDR4 16GB RAM 512GB PCle SSD Mini Desktop Computer, Dual Band WiFi, 4K@60Hz HDMI/DisplayPort/USB-C, 2.5G RJ45-LAN,4 X USB 3.0",363.59,B09NPZ4L2Q,0,4.5,162,21,False,False,MINIS FORUM,Windows,512,16
Lenovo ThinkCentre M93p Tiny USDT Intel Core i5 512GB SSD Hard Drive 16GB Memory Windows 10 Pro Includes Wi-LAN Business Desktop Computer Mini PC (Certified and Refurbished),250.00,B089MDB3KT,0,4.3,74,3,False,False,Intel,Windows,512,unknown
