opis,cena,id,vrednost_kupona,ocena,stevilo_ocen,cas_dostave,amazons_choice,produkt_sponzoriran,proizvajalec,OS,ssd,ram
"CHUWI Mini PC Herobox, Intel Celeron J4125 Mini Gaming PC, 8GB RAM 256GB SSD Mini Desktop Computer with Windows 10 OS, Quad Core 64-Bit, 2.4G/5G Dual WiFi, 1.1GHz to 2.4GHz, Type-C HDMI and VGA",219.00,B089F5SJJM,50.00,4.2,772,24,False,False,Intel,Windows,256,8
Intel NUC/Kit NUC10i5FNH w/EU Cable,499.00,B087RRHQDW,0,4.5,66,-1,False,False,Intel,unknown,unknown,unknown
"MINIS FORUM JB95 Mini PC, Intel Celeron Silver N5095 Processor Quad-Core CPU 8 GB / 128GB SSD Mini Desktop Computer with Windows 10, HDMI/DP/USB C Connector, USB 3.0×2, USB 3.1×2",239.00,B089CZ4QC6,34.00,4.2,358,8,False,True,Intel,Windows,128,unknown
Lenovo ThinkCentre M93p Tiny USDT Intel Core i5 512GB SSD Hard Drive 16GB Memory Windows 10 Pro MAR Includes Wi-Fi Business Desktop Computer Mini PC,299.00,B093JN5PHY,0,3.8,63,3,False,False,Intel,Windows,512,unknown
"Intel i7 4770 8-Thread 3.90 GHz Business Office Multimedia Computer with 3 Year Warranty! | i7 4770 8-Threads, 3.9 GHz | 16GB DDR3 | 512 GB SSD | DVD±RW | USB 3.0 | Windodows ws 11 P. Ref. 64-bit | #7052",333.00,B0B88JSMK1,0,4.3,256,13,False,False,Intel,Windows,512,unknown
"MINIS FORUM HM90 Mini PC, AMD Ryzen 9 4900H Processor 8 Cores CPU 32 GB DDR4 / 512 GB SSD Mini Desktop Computer with Windows 11 Pro, HDMI/DP/USB-C Port, WiFi 6, BT 5.1, USB 3.0 × 4",769.00,B09V74G74D,0,4.5,107,24,False,False,MINIS FORUM,Windows,512,32
"Mini PC I5 Intel i5-8279U Mini PC Windows 11 Pro with 8G DDR4 256G M.2 NVMe SSD, Mini-PC 4K Dual HDMI, Mini Computer Zoom, GTA Online, LOL, CS GO, Photoshop",379.00,B09PNCKQPD,0,4.3,36,8,False,True,Intel,Windows,256,8
"GEEKOM Mini IT8 i5-8279U (up to 4.1 GHz) Mini PC, Windows 11 Pro Mini PC, 16 GB DDR4 RAM 512 GB SSD Mini Desktop PC, Mini Computer 4K @ 60Hz | Supports 4 Displays | 2.4/5GWiFi | BT Home/B. Office small PC",499.99,B0B1DV81FY,70.00,4.6,157,21,False,True,GEEKOM,Windows,512,16
"Intel NUC 11 Essential Windows 11, Atlas Canyon Celeron N5105, 4 Cores, 4 Threads, 2.9 GHz, 4MB Level 3 Cache, 46W TDP, Intel UHD Graphics",309.99,B0B8HWXN8F,30.00,4.4,14,8,False,True,Intel,Windows,unknown,unknown
"Mini PC, Intel Celeron J3455 6GB LPDDR4, 128GB M.2 SATA SSD, Mini Desktop Computer, AWOW Micro PC, Windows 10, 4K HD, Dual HDMI 1.4, Dual WiFi",175.99,B094DHSHWS,10.00,3.9,45,8,False,False,Intel,Windows,128,
"Mini PC with built-in speaker, fingerprint login, Windows 11 Pro, 16 GB RAM, 512 GB SSD, Core i5-1135G7, Intel Iris Xe Graphics 8K UHD, Thunderbolt, WiFi6, BT5.2",589.99,B09VFSFW2Z,100.00,4.6,27,9,False,False,Intel,Windows,512,16
"MINIS FORUM Fanless Mini PC, Windows 10, 4 GB DDR4 / 64 GB, eMMC Intel Celoren N4020 processor, mini desktop computer, HDMI and VGA connection, Dual Band Wi-Fi 2.4+5.0 G, BT, USB 3.0 * 3",159.00,B07PS1KVD1,20.00,4.2,877,8,False,False,Intel,Windows,unknown,4
"Mini PC Windows 10 Pro, Intel Celeron J4125 with 8GB DDR4/NVMe M.2 128GB SSD 4K@60Hz, AWOW AK41 Desktop Computer Dual HDMI, Advanced SSD 2TB, 2.4G/5G Dual WiFi, Gigabit Eth. ernet, USB*. 4. BT 5.0",155.22,B087MB58VR,0,4.2,615,8,False,False,Intel,Windows,128,8
"MINISFORUM Mini PC 8GB DDR4 256GB SSD with Celeron Processor J4125 Quad-Core (up to 2.7GHz) 4 x USB 3.0 Ports 2 x Gigabit Ethernet Support HDD, 4K @ 60Hz HDMI, DisplayPort Dual Band WiFi Fi BT 4. 2",229.99,B089CNZL8S,0,4.5,574,8,False,True,MINIS FORUM,unknown,256,8
"Mini PC Windows 11 Pro, MINIS FORUM UM350 16GB DDR4 / 256GB SSD AMD Ryzen 5 3550H Processor Mini Desktop Computer, HDMI-DP USB C Port, Radeon Vega 8 Graphics, USB 3.1",404.00,B09R78KTLC,30.00,4.3,105,9,False,False,MINIS FORUM,Windows,256,16
"Akasa Turing PC Fanless Case for Intel 8th Gen NUC (Bean Canyon), Passive CPU Cooling, Pure Aluminium Heatsink, Supports 2.5 Inch SATA HDD/SSD, A-NUC45-M1B",135.00,B07RTBF1SY,0,4.6,117,8,False,False,Intel,unknown,unknown,unknown
Gigabyte Brix 3160 GB BACE Desktop Computer,135.48,B01M18SF5A,0,4.1,32,8,False,False,GIGABYTE,unknown,unknown,unknown
"Mini PC Intel I7-10810U (up to 4.9 GHz), Bkouen Mini Computers Windows 11 Pro for Gaming, 6 Cores 12 Threads, 16GB DDR4 512GB M.2 SSD, 2.5&quot; SATA, WiFi 6, BT5.2 For under-ground Study",699.99,B0BC6FND84,120.00,4.5,55,21,False,False,Intel,Windows,512,16
"Mini PC Windows 11 Pro, Intel Celeron N5105 2.9GHz 16GB DDR4 512GB SSD M.2 Micro Desktop Computer, 4K UHD, WLAN, BT4.2, Gigabit Ethernet, HDMI X 2 for Business, Home Cinema",339.41,B0BCNMP3CX,80.00,4.7,43,8,False,False,Intel,Windows,512,16
"Intel NUC, NUC 10 i5, Intel® Core™ i5-10210U Mini PC, NUC10i5FNHN Barebone, up to 4.2 GHz, 4 cores, 8 threads, no OS",529.99,B0B1MN8WX5,0,4.8,8,21,False,True,Intel,no OS,unknown,unknown
"Corsair ONE i300 Compact Gaming PC (Intel Core i9-12900K CPU, NVIDIA GeForce RTX 3080 Graphics Card, 32GB CORSAIR Vengeance DDR5 Memory, Thunderbolt 4, Windows 11 Pro) Black","4,099.99",B09QMG89VL,0,4.2,3,9,False,False,Intel,Windows,unknown,unknown
"Mini PC I5 Intel i5-8279U Mini PC Windows 11 Pro with 8G DDR4 256G M.2 NVMe SSD, Mini-PC 4K Dual HDMI, Mini Computer Zoom, GTA Online, LOL, CS GO, Photoshop",379.00,B09PNCKQPD,0,4.3,36,8,False,False,Intel,Windows,256,8
"CHUWI Mini PC Herobox, Intel Celeron J4125 Mini Gaming PC, 8GB RAM 256GB SSD Mini Desktop Computer with Windows 10 OS, Quad Core 64-Bit, 2.4G/5G Dual WiFi, 1.1GHz to 2.4GHz, Type-C HDMI and VGA",219.00,B089F5SJJM,50.00,4.2,772,24,False,False,Intel,Windows,256,8
"Mini PC Windows 10 Home 6GB RAM 64GB SSD, Mini Desktop Computer Dual-core Intel Celeron N3350 CPU (Up to 2.4GHz), Micro Computer AWOW TX33 Micro PC Support M.2 SATA SSD/Dual Wi-Fi/BT 4.2 / HDMI /VGA",121.19,B086VZD6L4,10.00,3.9,104,8,False,False,Intel,Windows,64,6
"Intel NUC, NUC 11 Pro Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4GHz-4.2GHz Turbo, 8-Thread, 8MB Cache, 16GB RAM, 256GB PCIe SSD, 28 W. Intelle. ® Iris™ Xe Graphics, NUC11PAHi5",749.99,B0B1MN8LXD,70.00,5.0,2,21,False,True,Intel,Windows,256,16
Fujitsu Esprimo Q920 0-Watt Intel Core i5 512GB SSD Hard Drive 16GB Memory Win 10 Pro Desktop Computer Mini PC (Certified and Refurbished),-1,B088X3KCT2,0,3.5,30,-1,False,False,Intel,Windows,512,unknown
"HISTTON Mini PC with Dual Core NUC i5 4200U with Windows 10 Desktop Computer, 16GB RAM, 256GB SSD, 6 RS232 COM, 2 LAN, HDMI, VGA, WLAN, Industrial PC",484.00,B08CKTZG6L,0,4.3,62,27,False,False,HISTTON,Windows,256,16
Lenovo ThinkCentre M93p Tiny USDT Intel Core i5 512GB SSD Hard Drive 16GB Memory Windows 10 Pro MAR Includes Wi-Fi Business Desktop Computer Mini PC,299.00,B093JN5PHY,0,3.8,63,3,False,False,Intel,Windows,512,unknown
"CHUWI Mini PC LarkBox X, AMD Ryzen™7 3750H Processor up to 4GHz, 8GB DDR4 256GB SSD Mini Desktop Computer with Windows 11 OS, HDMI, DP and Type-C Connection, RJ45-LAN, WiFi 6, BT5.2, M.2 Plug Space, USB 3. 1 x 4",399.00,B00OKAHH8O,30.00,4.3,254,8,False,True,Chuwi,Windows,256,8
"Intel NUC 11 Essential Windows 11, Atlas Canyon Celeron N5105, 4 Cores, 4 Threads, 2.9 GHz, 4MB Level 3 Cache, 46W TDP, Intel UHD Graphics",309.99,B0B8HWXN8F,30.00,4.4,14,8,False,True,Intel,Windows,unknown,unknown
"Intel NUC, NUC 11 Pro Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4GHz-4.2GHz Turbo, 8-Thread, 8MB Cache, 16GB RAM, 256GB PCIe SSD, 28 W. Intelle. ® Iris™ Xe Graphics, NUC11PAHi5",749.99,B0B1MN8LXD,70.00,5.0,2,21,False,True,Intel,Windows,256,16
"MINIS FORUM JB95 Mini PC, Intel Celeron Silver N5095 Processor Quad-Core CPU 8 GB / 128GB SSD Mini Desktop Computer with Windows 10, HDMI/DP/USB C Connector, USB 3.0×2, USB 3.1×2",239.00,B089CZ4QC6,34.00,4.2,358,8,False,False,Intel,Windows,128,unknown
INTEL NUC Barebone BOXNUC7CJYHN No Cord,157.32,B093Z554FZ,0,5.0,1,16,False,False,Intel,no OS,unknown,unknown
"Intel® NUC M15 Laptop Kit (BBC510BCG7A02) (Core™ i5-1135G7; 8GB LPDDR4x; without Hard Drive, without OS), Black","1,125.31",B08YDYCRV1,0,-1,0,24,False,False,Intel,unknown,unknown,unknown
Mini PC - NUC 11H Pro - Core i5 1135G7 - RAM: 16GB - SSD: 250GB - USB 3 - Windows 11 Pro,759.00,B07S3F9TV2,0,4.6,6,13,False,False,unknown,Windows,250,
"Intel NUC, NUC 10 i5, Intel® Core™ i5-10210U Mini PC, NUC10i5FNHN Barebone, up to 4.2 GHz, 4 cores, 8 threads, no OS",529.99,B0B1MN8WX5,0,4.8,8,21,False,True,Intel,no OS,unknown,unknown
"MINIS FORUM Fanless Mini PC, Windows 10, 4 GB DDR4 / 64 GB, eMMC Intel Celoren N4020 processor, mini desktop computer, HDMI and VGA connection, Dual Band Wi-Fi 2.4+5.0 G, BT, USB 3.0 * 3",159.00,B07PS1KVD1,20.00,4.2,877,8,False,False,Intel,Windows,unknown,4
"Intel NUC 11 Pro NUC11TNHV50L Tiger Canyon Home &amp; Business Mini PC Mini Desktop Dual LAN Intel Core i5-1145G7 11th Generation Processor with Intel vPro Technology, 4 Cores, 8 Threads (NO RAM SSD)",769.00,B09YLL93MS,120.00,-1,0,21,False,False,Intel,unknown,unknown,unknown
"Mini PC Intel Core i5-11320H Con processore Quad-core da 16 GB DDR4 / 512 GB SSD Mini PC Desktop Con Windows 11 pro, HDMI, DP e USB 4, WiFi Dual Band, BT, USB 3.1 x 4",579.00,B09ZTTT48C,80.00,4.5,270,9,False,False,Intel,Windows,512,16
"Gigabyte GB-BACE-3000 (rev. 1.0) BGA 1170 1.04GHz N3000 0.69L Mini PC Black - Barebones PC/Workstation PC (BGA 1170, Intel® Celeron® 1.04GHz, N3000, 14n) m)",69.99,B01BLVFQF0,0,3.1,15,13,False,False,Intel,no OS,unknown,unknown
"NUC 11 Pro NUC11PAHi5 Home &amp; Business Desktop Mini PC, Intel® Core™ i5-1135G7 4-Core, 2.4GHz-4.2GHz Turbo, 8 Thread, 8MB Cache, 8GB RAM, 256GB PCIe , 28 W I. ntel® Iris™ X Graphics, Win 10 Pro",-1,B09KNJZ8TV,0,5.0,2,-1,False,False,Intel,Windows,unknown,8
"CHUWI Mini PC LarkBox X, AMD Ryzen™7 3750H Processor up to 4GHz, 8GB DDR4 256GB SSD Mini Desktop Computer with Windows 11 OS, HDMI, DP and Type-C Connection, RJ45-LAN, WiFi 6, BT5.2, M.2 Plug Space, USB 3. 1 x 4",399.00,B00OKAHH8O,30.00,4.3,254,8,False,True,Chuwi,Windows,256,8
Akasa Newton PX Intel 8th Gen NUC (Provo Canyon) PC Fanless Case 100% Aluminium Heatsink CPU Cooling Supports 2.5 Inch SSD HDD and VESA Mounting A-NUC50-M1B,109.00,B086RB68XP,0,5.0,1,8,False,False,Intel,unknown,unknown,unknown
"Intel NUC, NUC11 Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4 GHz - 4.2 GHz Turbo, 8 MB Cache, 16 GB RAM, 256 GB PCIe SSD 28 W Intel® W ris™ Xe Graphics NUC11PAHi5",-1,B09BKRPGGG,0,4.8,21,-1,False,False,Intel,Windows,256,16
"Mini PC Windows 10 Home 6GB RAM 64GB SSD, Mini Desktop Computer Dual-core Intel Celeron N3350 CPU (Up to 2.4GHz), Micro Computer AWOW TX33 Micro PC Support M.2 SATA SSD/Dual Wi-Fi/BT 4.2 / HDMI /VGA",121.19,B086VZD6L4,10.00,3.9,104,8,False,False,Intel,Windows,64,6
"Mini PC with built-in speaker, fingerprint login, Windows 11 Pro, 16 GB RAM, 512 GB SSD, Core i5-1135G7, Intel Iris Xe Graphics 8K UHD, Thunderbolt, WiFi6, BT5.2",589.99,B09VFSFW2Z,100.00,4.6,27,9,False,False,Intel,Windows,512,16
"MINISFORUM Mini PC 8GB DDR4 256GB SSD with Celeron Processor J4125 Quad-Core (up to 2.7GHz) 4 x USB 3.0 Ports 2 x Gigabit Ethernet Support HDD, 4K @ 60Hz HDMI, DisplayPort Dual Band WiFi Fi BT 4. 2",229.99,B089CNZL8S,0,4.5,574,8,False,True,MINIS FORUM,unknown,256,8
"Intel NUC Mini PC Intel Core i3-10110U [10th Gen.] - 32GB RAM - 1000GB SSD - HDMI, Thunderbolt, 3X USB 3.2 Type A, 2X USB 3.2 Type C, LAN - Win 10 Pro",599.00,B09BFM65SP,0,-1,0,14,False,False,Intel,Windows,1000,32
Mini PC Intel NUC - 10th Gen - Intel Core i7 10710U - 64GB RAM - 1000GB PCIe SSD - Windows 10 Pro,"1,148.23",B085CLCN9N,0,4.0,7,14,False,False,Intel,Windows,1000,64
Shuttle Shut BarBo XH310R BK H310,252.99,B07NVS9Y2R,0,4.8,3,8,False,False,Shuttle,unknown,unknown,unknown
"Mini PC I5-8279 Intel Core Mini PC W11 Pro with 16GB DDR4 500GB M.2 NVME SSD TRIGKEY S8 Mini Computer W11, Mini Desktop Gaming PC WiFi 5, Mini PC Gaming Suitable for Zoom, LOL, GTA Online",499.00,B09PNDV5MM,76.00,4.3,36,9,False,True,Intel,Windows,500,16
"Intel NUC 11 Essential Windows 11, Atlas Canyon Celeron N5105, 4 Cores, 4 Threads, 2.9 GHz, 4MB Level 3 Cache, 46W TDP, Intel UHD Graphics",309.99,B0B8HWXN8F,30.00,4.4,14,8,False,True,Intel,Windows,unknown,unknown
"CHUWI Mini PC LarkBox X, AMD Ryzen™7 3750H Processor up to 4GHz, 8GB DDR4 256GB SSD Mini Desktop Computer with Windows 11 OS, HDMI, DP and Type-C Connection, RJ45-LAN, WiFi 6, BT5.2, M.2 Plug Space, USB 3. 1 x 4",399.00,B00OKAHH8O,30.00,4.3,254,8,False,True,Chuwi,Windows,256,8
Akasa Newton PX Intel 8th Gen NUC (Provo Canyon) PC Fanless Case 100% Aluminium Heatsink CPU Cooling Supports 2.5 Inch SSD HDD and VESA Mounting A-NUC50-M1B,109.00,B086RB68XP,0,5.0,1,8,False,False,Intel,unknown,unknown,unknown
"MINISFORUM Mini PC UM250 AMD Ryzen up to 3.6 GHz, 16 GB DDR4 RAM 512 GB M.2 SSD Desktop Computer, Radeon Vega 8 Graphics, Dual WiFi 4K @ 60Hz HDMI/DisplayPort/USB-C, 4X USB 3.1|S Small form factor",409.90,B08R38SJWV,50.00,4.6,558,24,False,False,MINIS FORUM,unknown,512,16
"MINIS FORUM Fanless Mini PC, Windows 10, 4 GB DDR4 / 64 GB, eMMC Intel Celoren N4020 processor, mini desktop computer, HDMI and VGA connection, Dual Band Wi-Fi 2.4+5.0 G, BT, USB 3.0 * 3",159.00,B07PS1KVD1,20.00,4.2,877,8,False,False,Intel,Windows,unknown,4
"Intel® NUC M15 Laptop Kit (BBC510BCG7A02) (Core™ i5-1135G7; 8GB LPDDR4x; without Hard Drive, without OS), Black","1,125.31",B08YDYCRV1,0,-1,0,24,False,False,Intel,unknown,unknown,unknown
"Intel NUC, NUC 10 i5, Intel® Core™ i5-10210U Mini PC, NUC10i5FNHN Barebone, up to 4.2 GHz, 4 cores, 8 threads, no OS",529.99,B0B1MN8WX5,0,4.8,8,21,False,True,Intel,no OS,unknown,unknown
"Akasa Turing PC Fanless Case for Intel 8th Gen NUC (Bean Canyon), Passive CPU Cooling, Pure Aluminium Heatsink, Supports 2.5 Inch SATA HDD/SSD, A-NUC45-M1B",135.00,B07RTBF1SY,0,4.6,117,8,False,False,Intel,unknown,unknown,unknown
INTEL NUC Barebone BOXNUC7CJYHN No Cord,157.32,B093Z554FZ,0,5.0,1,16,False,False,Intel,no OS,unknown,unknown
INTEL NUC Barebone BXNUC10I7FNHN2 EUCord,-1,B093Z5S3FS,0,2.6,3,-1,False,False,Intel,no OS,unknown,unknown
Mini PC - NUC 11H Pro - Core i5 1135G7 - RAM: 16GB - SSD: 250GB - USB 3 - Windows 11 Pro,759.00,B07S3F9TV2,0,4.6,6,13,False,False,unknown,Windows,250,
"Intel NUC Mini PC Intel Core i3-10110U [10th Gen.] - 8 GB RAM - 512 GB SSD - HDMI, Thunderbolt, 3x USB 3.2 Type A, 2x USB 3.2 Type C, LAN - Win 10 Pro + G-Data Antivirus",-1,B09BFK4R3G,0,-1,0,-1,False,False,Intel,Windows,512,8
"Intel NUC, NUC 11 Pro Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4GHz-4.2GHz Turbo, 8-Thread, 8MB Cache, 16GB RAM, 256GB PCIe SSD, 28 W. Intelle. ® Iris™ Xe Graphics, NUC11PAHi5",749.99,B0B1MN8LXD,70.00,5.0,2,21,False,True,Intel,Windows,256,16
INTEL NUC Barebone BXNUC10I7FNHN Cable Free,529.90,B093Z54WX8,0,5.0,2,27,False,False,Intel,no OS,unknown,unknown
Intel Canyon NUC10I3FNHN EU Barebone L6 EU Cord BXNUC10I3FNHN2,347.58,B093YNST5R,0,-1,0,8,False,False,Intel,no OS,unknown,unknown
Mini PC Intel NUC - 10th Gen - Intel Core i3 10110U - 32GB RAM - 1000GB SSD - Windows 10 Pro - Office 2019 Pro,889.00,B08SJ5XS7H,0,5.0,2,13,False,False,Intel,Windows,1000,32
"RICOO Thin Client Mount TRH-01 Mount Compatible with Intel NUC &amp; Mini PC, Computer Mount for Monitor Mount Screen Stand or Under Desk Mount VESA 75x75 100x100 Black",-1,B083WJSJ7D,0,4.3,13,-1,False,False,Intel,unknown,unknown,unknown
"Mini PC I5-8279 Intel Core Mini PC W11 Pro with 16GB DDR4 500GB M.2 NVME SSD TRIGKEY S8 Mini Computer W11, Mini Desktop Gaming PC WiFi 5, Mini PC Gaming Suitable for Zoom, LOL, GTA Online",499.00,B09PNDV5MM,76.00,4.3,36,9,False,True,Intel,Windows,500,16
"CHUWI Mini PC Herobox, Intel Celeron J4125 Mini Gaming PC, 8GB RAM 256GB SSD Mini Desktop Computer with Windows 10 OS, Quad Core 64-Bit, 2.4G/5G Dual WiFi, 1.1GHz to 2.4GHz, Type-C HDMI and VGA",219.00,B089F5SJJM,50.00,4.2,772,24,False,False,Intel,Windows,256,8
"Akasa Newton CTN, Aluminium Fanless Housing for Intel 11th NUC Core™ i3 (Tiger Canyon), Compact 1.06L, Supports M.2 SSD and VESA Mounting, A-NUC75-M1B",98.80,B09NBDL3XX,0,5.0,2,8,False,False,Intel,unknown,unknown,unknown
"Intel NUC Mini PC Intel Core i3-10110U [10th Gen.] - 32GB RAM - 1000GB SSD - HDMI, Thunderbolt, 3X USB 3.2 Type A, 2X USB 3.2 Type C, LAN - Win 10 Pro",599.00,B09BFM65SP,0,-1,0,14,False,False,Intel,Windows,1000,32
"MINISFORUM Mini PC 8GB DDR4 256GB SSD with Celeron Processor J4125 Quad-Core (up to 2.7GHz) 4 x USB 3.0 Ports 2 x Gigabit Ethernet Support HDD, 4K @ 60Hz HDMI, DisplayPort Dual Band WiFi Fi BT 4. 2",229.99,B089CNZL8S,0,4.5,574,8,False,True,MINIS FORUM,unknown,256,8
"Intel NUC 11 Essential Windows 11, Atlas Canyon Celeron N5105, 4 Cores, 4 Threads, 2.9 GHz, 4MB Level 3 Cache, 46W TDP, Intel UHD Graphics",309.99,B0B8HWXN8F,30.00,4.4,14,8,False,True,Intel,Windows,unknown,unknown
"CHUWI Mini PC LarkBox X, AMD Ryzen™7 3750H Processor up to 4GHz, 8GB DDR4 256GB SSD Mini Desktop Computer with Windows 11 OS, HDMI, DP and Type-C Connection, RJ45-LAN, WiFi 6, BT5.2, M.2 Plug Space, USB 3. 1 x 4",399.00,B00OKAHH8O,30.00,4.3,254,8,False,True,Chuwi,Windows,256,8
"Mini PC, Intel Celeron Processor J4125 Quad-Core CPU 8 GB DDR / 256 GB SSD Mini Desktop Computer with Windows 10, HDMI and DP Port, Dual Band WiFi 2.4 + 5.8 G, BT 4.2, 4 x USB 3.0",194.21,B09YR3B3LW,0,4.0,62,8,False,False,Intel,Windows,256,unknown
Fujitsu Esprimo Q920 Mini-PC 0-Watt Intel Core i5 240GB SSD (NEU) Festplatte 8GB Speicher Win 10 Pro S26361-K1011-V500 Computer (Generalüberholt),169.00,B00EUUB2RQ,0,4.4,89,3,False,False,Intel,Windows,240,unknown
"Intel Nuc Mini Complete PC, Intel Hexa Core i7 6 x 4.70 GHz, 16 GB RAM, 256 GB SSD, USB 3.1, HDMI, Intel UHD Graphics, 4K Resolution, Windows 10 Pro",865.98,B0892PZKLX,0,4.3,33,14,False,False,Intel,Windows,256,16
Mini PC Intel NUC - 10th Gen - Intel Core i7 10710U - 64GB RAM - 1000GB PCIe SSD - Windows 10 Pro - Office 2019 Pro,"1,226.41",B085D9BDT2,0,4.1,3,14,False,False,Intel,Windows,1000,64
"Intel NUC, NUC 10 i5, Intel® Core™ i5-10210U Mini PC, NUC10i5FNHN Barebone, up to 4.2 GHz, 4 cores, 8 threads, no OS",529.99,B0B1MN8WX5,0,4.8,8,21,False,True,Intel,no OS,unknown,unknown
"Intel® NUC 11 Essential Celeron® N5105 Atlas Canyon NUC11ATKC4 Mini PC 2.0 GHz - 2.9 GHz Burst, 4 Core, 4 Thread, 15W Intel® UHD Graphics, 450-800 MHz Burst. (8G RAM) 2) 56G SSD)",-1,B0B9CGCK3H,0,-1,0,-1,False,False,Intel,unknown,unknown,8
"Mini PC Fanless Intel Celeron N4000 (up to 2.6 GHz) 4GB DDR4/64GB eMMC Mini Desktop Computer Windows 10 HDMI And VGA Connection 2.4/5.8G WiFi BT4.2 3xUSB 3.0 Support Linux, M.2 2242 SSD",159.99,B082VVHXK6,10.00,4.2,418,8,False,False,Intel,Windows,unknown,4
Intel NUC 8 Rugged Kit NUC8CCHKRN2 EUCor,249.62,B093Z4P8G6,0,-1,0,13,False,False,Intel,unknown,unknown,unknown
"Intel NUC, NUC11 Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4 GHz - 4.2 GHz Turbo, 8 MB Cache, 16 GB RAM, 256 GB PCIe SSD 28 W Intel® W ris™ Xe Graphics NUC11PAHi5",-1,B09BKRPGGG,0,4.8,21,-1,False,False,Intel,Windows,256,16
Mini PC Intel NUC - 10th Gen - Intel Core i7 10710U - 64GB RAM - 1000GB PCIe SSD - Windows 10 Pro,"1,148.23",B085CLCN9N,0,4.0,7,14,False,False,Intel,Windows,1000,64
"Intel NUC, NUC 11 Pro Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4GHz-4.2GHz Turbo, 8-Thread, 8MB Cache, 16GB RAM, 256GB PCIe SSD, 28 W. Intelle. ® Iris™ Xe Graphics, NUC11PAHi5",749.99,B0B1MN8LXD,70.00,5.0,2,21,False,True,Intel,Windows,256,16
Mini PC Core i5-8279U | 16GB DDR4 512GB PCIe SSD | Iris Plus Graphics 655 | 2.4G/5G Dual WiFi BT 5.1 | HDMI/Display/USB-C | 2X RJ45 | 4X USB 3.0 | Small Form Factor,489.99,B0919ZGR1R,40.00,4.5,366,21,False,False,unknown,unknown,512,16
Intel NUC10i3FNH NUC 10 Performance Mini PC - Intel Core i3 Processor,480.00,B083X6TBHB,0,4.1,14,-1,False,False,Intel,unknown,unknown,unknown
"Mini PC Intel Celeron J4005 2x2,0GHz 8GB RAM 120GB SSD Bluetooth 5.0 HDMI RJ-45 USB 3.0 Windows 10 Professional",197.82,B0811T2VF9,0,-1,0,14,False,False,Intel,Windows,120,8
Mini PC Intel NUC - Intel Pentium - 8GB RAM - 250GB SSD - Windows 10 Pro,263.35,B0816YRTB9,0,5.0,2,14,False,False,Intel,Windows,250,8
"MINISFORUM Mini PC 8GB DDR4 256GB SSD with Celeron Processor J4125 Quad-Core (up to 2.7GHz) 4 x USB 3.0 Ports 2 x Gigabit Ethernet Support HDD, 4K @ 60Hz HDMI, DisplayPort Dual Band WiFi Fi BT 4. 2",229.99,B089CNZL8S,0,4.5,574,8,False,True,MINIS FORUM,unknown,256,8
"Intel NUC Mini PC Intel Core i3-10110U [10th Gen.] - 16GB RAM - 512GB SSD - HDMI, Thunderbolt, 3X USB 3.2 Type A, 2X USB 3.2 Type C, LAN - Win 10 Pro",555.00,B09BFKYTS4,0,-1,0,14,False,False,Intel,Windows,512,16
Dilc – NUC,918.85,B073V4DM3K,0,4.1,16,9,False,False,DILC,unknown,unknown,unknown
"Mini PC Windows 10 Pro, SNUNMU Intel Celeron N3350 Mini Computer, 4GB DDR3 64GB eMMC Mini Desktop PC, Supports 4K HD, HDMI/VGA Port 3 Display, BT 4.2, Dual Brand WiFi for Home and Office",149.99,B09FP3GGWS,40.00,4.2,270,8,False,False,Intel,Windows,unknown,unknown
"Mini PC I5-8279 Intel Core Mini PC W11 Pro with 16GB DDR4 500GB M.2 NVME SSD TRIGKEY S8 Mini Computer W11, Mini Desktop Gaming PC WiFi 5, Mini PC Gaming Suitable for Zoom, LOL, GTA Online",499.00,B09PNDV5MM,76.00,4.3,36,9,False,True,Intel,Windows,500,16
"Intel NUC 11 Essential Windows 11, Atlas Canyon Celeron N5105, 4 Cores, 4 Threads, 2.9 GHz, 4MB Level 3 Cache, 46W TDP, Intel UHD Graphics",309.99,B0B8HWXN8F,30.00,4.4,14,8,False,True,Intel,Windows,unknown,unknown
"GEEKOM Mini IT8 i5-8279U (up to 4.1 GHz) Mini PC, Windows 11 Pro Mini PC, 16 GB DDR4 RAM 512 GB SSD Mini Desktop PC, Mini Computer 4K @ 60Hz | Supports 4 Displays | 2.4/5GWiFi | BT Home/B. Office small PC",499.99,B0B1DV81FY,70.00,4.6,157,21,False,True,GEEKOM,Windows,512,16
Intel Canyon NUC10I3FNHN EU Barebone L6 EU Cord BXNUC10I3FNHN2,347.58,B093YNST5R,0,-1,0,8,False,False,Intel,no OS,unknown,unknown
"WEIDIAN NUC Mini Computer with Windows 11 Pro, 8GB DDR4 256GB NVMe SSD, Core i5-8265U Mini PC Support Dual 4K HDMI DP Output, Dual LAN, Dual Band WiFi, 4USB 3.0, 4USB 2.0, Auto Power On",-1,B0891YDSR5,0,4.3,26,-1,False,False,WEIDIAN,Windows,256,8
